date,NIV_v7,NFCI,STLFSI,KCFSI,VIX,stress_ahead
1994-01-01,-0.5545917358883641,-0.9792657142857144,-0.297,-0.6672019662105674,12.4215625,0.0
1994-04-01,-0.5579784606990017,-0.9431466666666668,-0.272325,-0.792413604492161,13.436190476190475,0.0
1994-07-01,-0.5453169133565198,-0.7316315384615385,-0.1212615384615384,-0.728066281370574,14.51258064516129,0.0
1994-10-01,-0.4805251067200829,-0.7648328571428572,-0.2138928571428571,-0.9281710695893074,12.51625,0.0
1995-01-01,-0.4651835729055334,-0.5297923076923077,-0.1879615384615384,-0.7545552090769316,15.268730158730158,0.0
1995-04-01,-0.4088185316786186,-0.5690192307692308,-0.2805923076923077,-0.7650004134618403,11.992380952380952,0.0
1995-07-01,-0.21371156268860245,-0.687953076923077,-0.2559076923076923,-0.9123448413910796,12.19031746031746,0.0
1995-10-01,-0.09092674512649224,-0.6996661538461539,-0.2792461538461538,-0.913057722814421,12.472698412698412,0.0
1996-01-01,-0.10837271518321066,-0.7368215384615385,-0.2638615384615385,-0.737195273626149,12.89968253968254,0.0
1996-04-01,-0.0675579074503229,-0.7864792307692308,-0.2721615384615384,-0.8151052092768577,15.398253968253968,0.0
1996-07-01,-0.2044714716630889,-0.7056584615384616,-0.1641846153846153,-0.8882050898025238,16.36825396825397,1.0
1996-10-01,-0.2951239310623115,-0.7303492307692309,-0.1587923076923076,-0.9470089331924784,16.7784375,1.0
1997-01-01,-0.2428336449207214,-0.7582138461538462,-0.164576923076923,-0.846633268774708,17.20625,1.0
1997-04-01,-0.20816165224448643,-0.7163323076923077,-0.2973076923076923,-0.837208625130681,19.9165,1.0
1997-07-01,-0.0943122688119085,-0.6416438461538461,-0.2077538461538461,-0.6746774600246402,19.92296875,1.0
1997-10-01,-0.08192380596600907,-0.6486753846153845,-0.2558538461538461,-0.6014784591165577,22.445,1.0
1998-01-01,-0.042539172196803185,-0.51605,-0.0412076923076923,-0.1372882557320035,27.092380952380957,1.0
1998-04-01,0.08837267533742638,-0.6082184615384615,-0.2725,-0.1736536294812605,21.324590163934424,1.0
1998-07-01,0.09222164617492343,-0.5886584615384616,-0.2062,-0.1770258862713214,21.53428571428572,1.0
1998-10-01,0.04228890380005862,-0.3805430769230769,0.2615846153846153,0.6508252539937134,29.75171875,1.0
1999-01-01,-0.023472136868639748,-0.0750892307692307,0.6683153846153846,1.2009575040651514,29.5371875,1.0
1999-04-01,-0.03044706350329557,-0.3139676923076923,0.2062307692307692,0.9731341272032592,27.252786885245904,1.0
1999-07-01,-0.10683172858971601,-0.4023738461538461,0.0865,0.5050800062711923,24.39555555555556,1.0
1999-10-01,-0.12476030655570455,-0.1904746153846153,0.2338538461538461,0.5968694295877476,23.320625,1.0
2000-01-01,-0.16368269678867572,-0.1382464285714285,0.2201642857142857,0.676536792607226,22.65828125,1.0
2000-04-01,-0.2023844383757062,-0.1753646153846153,0.0398307692307692,0.7930421465709679,23.15031746031746,1.0
2000-07-01,-0.30312274098892317,-0.0064823076923076,0.4134384615384615,1.44868083993907,24.92396825396825,1.0
2000-10-01,-0.30710963842249683,-0.1541253846153846,0.0884538461538461,0.9455341042577796,19.16904761904762,1.0
2001-01-01,-0.41098003543608697,-0.1261715384615384,0.4781692307692307,1.4268497740895498,26.016666666666666,1.0
2001-04-01,-0.2693695498227848,-0.2373961538461538,0.5351538461538461,1.3030160350627134,25.726451612903222,1.0
2001-07-01,-0.24049320350652942,-0.3868930769230769,0.5142923076923077,0.9492428972595685,23.923809523809524,1.0
2001-10-01,-0.1599176719307418,-0.4460592307692307,0.6174615384615385,0.8577280441680784,25.380338983050848,1.0
2002-01-01,0.033262408677175406,-0.3751161538461538,0.7573769230769231,0.9101303713651632,27.91,0.0
